Player,Year,Pos,Actual,Scrim,TOT TD,Fmbl,Rec,Tgt,Att,Age,Rush yds,Rec yds,Y/R,Rec TD,Catch%,Rush TD,Yards/att,Touch,Y/T,G,GS,cScrim,cTOT TD,cFmbl,cRec,cTgt,cAtt,cRush yds,cRec yds,cY/R,cRec TD,cCatch%,cRush TD,cY/A,cTouch,cY/T,cG,cGS
Jonathan Taylor,2020,RB,252.8,97.86666666666666,0.8,0.06666666666666667,2.4,2.6,15.466666666666667,21.0,77.93333333333334,19.933333333333334,8.3,0.06666666666666667,92.3,0.7333333333333333,5.0,17.866666666666667,5.5,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Taylor,2021,RB,369.1,127.70588235294117,1.1764705882352942,0.23529411764705882,2.3529411764705883,3.0,19.529411764705884,22.0,106.52941176470588,21.176470588235293,9.0,0.11764705882352941,78.4,1.0588235294117647,5.5,21.88235294117647,5.8,17.0,17.0,97.86666666666666,0.8,0.06666666666666667,2.4,2.6,15.466666666666667,77.93333333333334,19.933333333333334,8.3,0.06666666666666667,92.3,0.7333333333333333,5.0,17.866666666666667,5.5,15.0,13.0
Cooper Kupp,2017,WR,176.9,57.93333333333333,0.3333333333333333,0.06666666666666667,4.133333333333334,6.266666666666667,0.0,24.0,0.0,57.93333333333333,0.9333333333333333,0.3333333333333333,4.4,0.0,0.0,4.133333333333334,0.9333333333333333,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Kupp,2018,WR,135.1,73.875,0.75,0.0,5.0,6.875,3.125,25.0,0.0,70.75,1.775,0.75,9.0875,0.375,0.3875,5.5,1.675,8.0,8.0,57.93333333333333,0.3333333333333333,0.06666666666666667,4.133333333333334,6.266666666666667,0.0,0.0,57.93333333333333,0.9333333333333333,0.3333333333333333,4.4,0.0,0.0,4.133333333333334,0.9333333333333333,15.0,6.0
Cooper Kupp,2019,WR,264.5,72.8125,0.625,0.1875,5.875,8.375,0.25,26.0,0.0,72.5625,0.775,0.625,4.38125,0.0,0.01875,6.0,0.75625,16.0,14.0,65.90416666666667,0.5416666666666666,0.03333333333333333,4.566666666666666,6.570833333333333,1.5625,0.0,64.34166666666667,1.3541666666666665,0.5416666666666666,6.74375,0.1875,0.19375,4.816666666666666,1.3041666666666667,11.5,7.0
Cooper Kupp,2020,WR,208.7,67.13333333333334,0.2,0.06666666666666667,6.133333333333334,8.266666666666667,2.2,27.0,0.0,64.93333333333334,0.7066666666666667,0.2,4.946666666666667,0.2,0.14666666666666667,6.4,0.7,15.0,12.0,68.20694444444445,0.5694444444444444,0.08472222222222221,5.002777777777777,7.172222222222222,1.125,0.0,67.08194444444445,1.161111111111111,0.5694444444444444,5.95625,0.125,0.13541666666666666,5.211111111111111,1.121527777777778,13.0,9.333333333333334
Cooper Kupp,2021,WR,437.5,115.58823529411765,0.9411764705882353,0.0,8.529411764705882,11.235294117647058,1.0588235294117647,28.0,0.0,114.52941176470588,0.788235294117647,0.9411764705882353,4.464705882352941,0.058823529411764705,0.06470588235294118,8.764705882352942,0.776470588235294,17.0,17.0,67.93854166666667,0.4770833333333333,0.08020833333333333,5.285416666666666,7.445833333333333,1.39375,0.0,66.54479166666667,1.0474999999999999,0.4770833333333333,5.703854166666666,0.14375,0.13822916666666668,5.508333333333333,1.0161458333333333,13.5,10.0
Deebo Samuel,2019,WR,185.10000000000002,64.06666666666666,0.4,0.13333333333333333,3.8,5.4,10.6,23.0,0.2,53.46666666666667,0.94,0.2,4.693333333333333,0.3333333333333333,0.7066666666666667,4.733333333333333,0.9,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deebo Samuel,2020,WR,80.7,59.57142857142857,0.14285714285714285,0.0,4.714285714285714,6.285714285714286,3.7142857142857144,24.0,0.0,55.857142857142854,1.6857142857142857,0.14285714285714285,10.714285714285714,0.14285714285714285,0.5285714285714286,5.857142857142857,1.457142857142857,7.0,5.0,64.06666666666666,0.4,0.13333333333333333,3.8,5.4,10.6,0.2,53.46666666666667,0.94,0.2,4.693333333333333,0.3333333333333333,0.7066666666666667,4.733333333333333,0.9,15.0,11.0
Deebo Samuel,2021,WR,330.0,110.625,0.875,0.25,4.8125,7.5625,22.8125,25.0,0.5,87.8125,1.1375,0.375,3.975,1.3125,1.425,8.5,0.8125,16.0,15.0,61.819047619047616,0.27142857142857146,0.06666666666666667,4.257142857142857,5.842857142857143,7.157142857142857,0.1,54.661904761904765,1.3128571428571427,0.17142857142857143,7.703809523809523,0.23809523809523808,0.6176190476190476,5.295238095238095,1.1785714285714286,11.0,8.0
Najee Harris,2021,RB,300.70000000000005,98.05882352941177,0.5882352941176471,0.0,4.352941176470588,5.529411764705882,18.058823529411764,23.0,70.58823529411765,27.470588235294116,6.3,0.17647058823529413,78.7,0.4117647058823529,3.9,22.41176470588235,4.4,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
