Player,p2023
Tyler Johnson,72.34491801108939
Durham Smythe,75.99737444115749
Josh Palmer,89.54834104511298
Sterling Shepard,117.05142198155495
Austin Hooper,104.57519294830053
Jaret Patterson,59.19736729182785
Travis Homer,58.71079994701355
Jonnu Smith,67.25269902008928
T.Y. Hilton,87.78618646132732
Jalen Reagor,84.35920876920919
Albert Okwuegbunam,84.38860441974133
Damiere Byrd,64.77903119002062
Chris Conley,71.67853560189974
Darius Slayton,67.79685292435231
Jeff Wilson,61.77573222929642
Devin Duvernay,79.23550715999801
Carlos Hyde,40.71657566605695
Kyle Juszczyk,85.10319169332985
Mo Alie-Cox,81.04855397755844
Marquise Goodwin,50.276281242863284
Chester Rogers,58.20201283034659
Jack Doyle,87.56260034919204
James Washington,60.78210057426498
Phillip Lindsay,34.79628208980297
Ray-Ray McCloud,67.38552676494268
Anthony Firkser,70.15985460299082
Jauan Jennings,76.46554321103355
Craig Reynolds,60.90843931924385
Calvin Ridley,148.1770938795878
Peyton Barber,42.956800267253286
Rashard Higgins,61.203842834087496
DeeJay Dallas,61.28039704805701
Ricky Seals-Jones,74.89634062938349
Ty'Son Williams,42.24730358534622
Damien Williams,61.26387268446679
Salvon Ahmed,36.35775557703938
Demarcus Robinson,77.46178231513233
Adam Trautman,72.04968049425757
Chris Carson,116.52721606255894
Ryan Griffin,73.40413547228265
Kyle Rudolph,64.68904454219962
Dare Ogunbowale,52.26388795164661
Brandon Zylstra,50.75893483303136
John Bates,58.386633141429286
Lil'Jordan Humphrey,57.56562857488728
Danny Amendola,76.24212999579689
Royce Freeman,35.89332136931962
Cameron Brate,72.91887470429266
Josiah Deguara,62.26412233464975
James O'Shaughnessy,65.90881739736184
John Ross,34.96354061305821
Tavon Austin,50.229221136142925
Harrison Bryant,60.37913325081129
Will Dissly,65.28915873962443
Tajae Sharpe,52.79089613210976
Albert Wilson,51.19576195073077
Chris Evans,50.6735679137898
Chris Moore,54.740323734211806
Cyril Grayson,84.76123952358495
Jamycal Hasty,50.93004047509831
Isaiah McKenzie,50.846831154483034
Mack Hollins,62.9448648589323
Hayden Hurst,63.60383235294631
Cam Sims,50.88079093514588
Jordan Akins,39.49671935218132
Marcedes Lewis,59.30834963347312
Geoff Swaim,89.86268638904023
Antoine Wesley,59.93768735405397
Ke'Shawn Vaughn,38.639878824793705
Ashton Dulin,51.247266641475484
Demetric Felton,49.30204504709566
Quintez Cephus,93.33742445658856
Robert Tonyan,63.92725710812775
James Proche,36.99850129529297
Matt Breida,42.29943811052798
Logan Thomas,90.01419634649709
Trey Sermon,28.524649418123403
Maxx Williams,73.33205774865714
Tommy Tremble,61.61782818543881
Donald Parham,63.81789543195009
Ian Thomas,59.78555464913568
Noah Brown,34.729632382918915
N'Keal Harry,29.852692289886768
Giovani Bernard,61.75643693204361
Brevin Jordan,67.61015362519124
Mohamed Sanu,20.291189065449757
Kendall Hinton,46.87713219599616
Anthony Schwartz,37.13867674786334
Tyler Kroft,40.42999483866165
Pharaoh Brown,53.499607013999565
Tony Jones,22.335153646084976
Corey Clement,40.41848544814269
Jerick McKinnon,34.72366684918031
Zach Gentry,61.10839923124858
Jimmy Graham,46.5241362085903
Stephen Anderson,48.64995184408983
Jakeem Grant,34.96728181084965
Breshad Perriman,38.717940287737704
Parris Campbell,49.07006201091615
Dyami Brown,37.64373664163399
Isaiah Ford,46.730900691682784
Eno Benjamin,28.175559099125692
C.J. Ham,45.888219176477925
Juwan Johnson,52.29353501480515
Marcus Johnson,23.632971940867662
KhaDarel Hodge,35.826239612167015
DJ Chark,72.86545399113633
Malik Turner,44.55527023253745
MyCole Pruitt,59.6103458172603
Joshua Kelley,14.551736457027758
Ty Montgomery,34.40682274328788
Terrace Marshall Jr.,35.9255225128242
JuJu Smith-Schuster,58.22105828367499
Malcolm Brown,25.92246246705247
O.J. Howard,47.36707498126196
Denzel Mims,19.72769869121538
Ben Skowronek,28.29823864710231
Nick Vannett,22.84955962169836
James White,90.87402347278267
Le'Veon Bell,34.040164198618044
Elijhaa Penny,46.57155070581337
Wayne Gallman,-9.006470127898481
D'Wayne Eskridge,26.713516174533552
Qadree Ollison,17.765466269120736
Brock Wright,38.55660213821653
Ihmir Smith-Marsette,25.957897088412366
Jalen Richard,21.757704172124008
Jeff Smith,19.907863275499068
Equanimeous St. Brown,20.44959710143391
Benny Snell Jr.,25.706163380162664
Phillip Dorsett,7.653184343634464
Adam Shaheen,27.113332969494394
Austin Walter,24.8820352198869
Marlon Mack,1.854533292084696
Jonathan Williams,23.97222912947835
Kylen Granson,33.29019950168393
Adrian Peterson,36.00138147336587
Collin Johnson,22.30741752161279
Trinity Benson,17.053979355749618
Shi Smith,8.824398805876186
Blake Bell,28.430494763864687
Jermar Jefferson,30.564569800417445
Ryquell Armstead,40.22504260024904
Blake Jarwin,37.2726272222024
Greg Ward,39.24295991548822
Patrick Taylor,18.158324570275525
Dante Pettis,51.281795747343644
Trent Sherfield,34.18506424547881
Alec Ingold,20.109054523783783
Larry Rountree,19.662277618919205
Eric Ebron,30.910496316485634
Dax Milne,18.913692409577735
Scott Miller,11.239839068911508
Drew Sample,37.3369012815957
Preston Williams,4.835793524780868
KJ Hamler,14.522598468655602
Chris Manhertz,38.68948685676558
Kene Nwangwu,13.875919815947938
Kenny Stills,15.954001745145362
Dede Westbrook,17.444619963348885
Jonathan Ward,3.1585939200512883
Josh Oliver,19.67002274273736
Lee Smith,26.795786526242324
Ja'Marcus Bradley,-4.246219032066406
Jesse James,28.230708809886423
Penny Hart,25.614032091243345
Juwann Winfree,-2.6956754131445138
C.J. Board,-7.7476360473631445
Mike Boone,-3.6255737878039014
Michael Burton,14.876788344316552
Luke Farrell,20.720470042055922
Jason Moore,4.687823881968342
Amari Rodgers,18.626447027610084
Alex Erickson,18.819534142601356
Jacob Hollister,15.054433261721869
